# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.358650155848e-02       2.362048148086e+04 
       1.371613600221e-02       2.365862493427e+04 
       1.384580683173e-02       2.369472356706e+04 
       1.397551416807e-02       2.372878550915e+04 
       1.410525815527e-02       2.376084289620e+04 
       1.423503895996e-02       2.379092571517e+04 
       1.436485677106e-02       2.381905801766e+04 
       1.449471179948e-02       2.384526770851e+04 
       1.462460427788e-02       2.386957095264e+04 
       1.475453446040e-02       2.389199874715e+04 
       1.488450262251e-02       2.391257470310e+04 
       1.501450906081e-02       2.393132053237e+04 
       1.514455409288e-02       2.394827099715e+04 
       1.527463805718e-02       2.396344365323e+04 
       1.540476131293e-02       2.397685086222e+04 
       1.553492424007e-02       2.398853326162e+04 
       1.566512723919e-02       2.399851233101e+04 
       1.579537073151e-02       2.400678976217e+04 
       1.592565515890e-02       2.401341128653e+04 
       1.605598098384e-02       2.401838615036e+04 
       1.618634868952e-02       2.402174834605e+04 
       1.631675877986e-02       2.402351747244e+04 
       1.644721177959e-02       2.402371292968e+04 
       1.657770823436e-02       2.402235192350e+04 
       1.670824871085e-02       2.401945514795e+04 
       1.683883379690e-02       2.401506681931e+04 
       1.696946410165e-02       2.400919101789e+04 
       1.710014025572e-02       2.400182443332e+04 
       1.723086291138e-02       2.399302369235e+04 
       1.736163274279e-02       2.398279720651e+04 
       1.749245044617e-02       2.397119787785e+04 
       1.762331674007e-02       2.395818501799e+04 
       1.775423236560e-02       2.394380703734e+04 
       1.788519808673e-02       2.392810710121e+04 
       1.801621469053e-02       2.391107171428e+04 
       1.814728298754e-02       2.389273031689e+04 
       1.827840381201e-02       2.387311857963e+04 
       1.840957802229e-02       2.385223434664e+04 
       1.854080650118e-02       2.383011385047e+04 
       1.867209015626e-02       2.380675676801e+04 
       1.880342992035e-02       2.378221543504e+04 
       1.893482675181e-02       2.375646876698e+04 
       1.906628163508e-02       2.372957452155e+04 
       1.919779558100e-02       2.370152637182e+04 
       1.932936962738e-02       2.367233123394e+04 
       1.946100483937e-02       2.364202607183e+04 
       1.959270231003e-02       2.361065705702e+04 
       1.972446316079e-02       2.357818668549e+04 
       1.985628854201e-02       2.354470331190e+04 
       1.998817963353e-02       2.351014454391e+04 
       2.012013764521e-02       2.347458413389e+04 
       2.025216381752e-02       2.343801658982e+04 
       2.038425942219e-02       2.340044649569e+04 
       2.051642576279e-02       2.336193758653e+04 
       2.064866417540e-02       2.332246063993e+04 
       2.078097602928e-02       2.328204238039e+04 
       2.091336272756e-02       2.324075903484e+04 
       2.104582570797e-02       2.319852918804e+04 
       2.117836644353e-02       2.315541838832e+04 
       2.131098644339e-02       2.311146671812e+04 
       2.144368725356e-02       2.306666677063e+04 
       2.157647045771e-02       2.302099842475e+04 
       2.170933767807e-02       2.297453872191e+04 
       2.184229057624e-02       2.292728825260e+04 
       2.197533085410e-02       2.287923578631e+04 
       2.210846025472e-02       2.283043036928e+04 
       2.224168056333e-02       2.278082663638e+04 
       2.237499360827e-02       2.273054103062e+04 
       2.250840126202e-02       2.267952239029e+04 
       2.264190544221e-02       2.262777735017e+04 
       2.277550811274e-02       2.257534786600e+04 
       2.290921128482e-02       2.252225395882e+04 
       2.304301701819e-02       2.246842667213e+04 
       2.317692742221e-02       2.241401774123e+04 
       2.331094465715e-02       2.235895713632e+04 
       2.344507093537e-02       2.230327017557e+04 
       2.357930852268e-02       2.224696396151e+04 
       2.371365973961e-02       2.219007607237e+04 
       2.384812696282e-02       2.213261506618e+04 
       2.398271262651e-02       2.207456810156e+04 
       2.411741922386e-02       2.201594524309e+04 
       2.425224930857e-02       2.195683570879e+04 
       2.438720549639e-02       2.189714902935e+04 
       2.452229046676e-02       2.183697813196e+04 
       2.465750696442e-02       2.177627722808e+04 
       2.479285780117e-02       2.171509136777e+04 
       2.492834585761e-02       2.165343557677e+04 
       2.506397408497e-02       2.159130254275e+04 
       2.519974550703e-02       2.152872464304e+04 
       2.533566322200e-02       2.146571110901e+04 
       2.547173040462e-02       2.140228014727e+04 
       2.560795030815e-02       2.133836698552e+04 
       2.574432626660e-02       2.127415492084e+04 
       2.588086169693e-02       2.120946233509e+04 
       2.601756010130e-02       2.114444373056e+04 
       2.615442506955e-02       2.107900022685e+04 
       2.629146028154e-02       2.101314971428e+04 
       2.642866950981e-02       2.094707683260e+04 
       2.656605662213e-02       2.088062341604e+04 
       2.670362558426e-02       2.081377650967e+04 
       2.684138046277e-02       2.074670575383e+04 
       2.697932542799e-02       2.067924878176e+04 
       2.711746475697e-02       2.061153179362e+04 
       2.725580283669e-02       2.054352823811e+04 
       2.739434416725e-02       2.047525944407e+04 
       2.753309336527e-02       2.040669525926e+04 
       2.767205516740e-02       2.033788501268e+04 
       2.781123443389e-02       2.026881640699e+04 
       2.795063615238e-02       2.019952187843e+04 
       2.809026544179e-02       2.013002067213e+04 
       2.823012755638e-02       2.006025919400e+04 
       2.837022788990e-02       1.999032622280e+04 
       2.851057198001e-02       1.992014239689e+04 
       2.865116551275e-02       1.984976674949e+04 
       2.879201432730e-02       1.977926548336e+04 
       2.893312442082e-02       1.970858429315e+04 
       2.907450195354e-02       1.963766447417e+04 
       2.921615325408e-02       1.956661378880e+04 
       2.935808482489e-02       1.949543463256e+04 
       2.950030334802e-02       1.942408909900e+04 
       2.964281569104e-02       1.935259164037e+04 
       2.978562891323e-02       1.928105102058e+04 
       2.992875027206e-02       1.920930736301e+04 
       3.007218722991e-02       1.913739658326e+04 
       3.021594746104e-02       1.906549026322e+04 
       3.036003885896e-02       1.899342058763e+04 
       3.050446954397e-02       1.892123524844e+04 
       3.064924787117e-02       1.884900633691e+04 
       3.079438243873e-02       1.877669914012e+04 
       3.093988209656e-02       1.870430555081e+04 
       3.108575595533e-02       1.863183997631e+04 
       3.123201339595e-02       1.855931799794e+04 
       3.137866407942e-02       1.848673744537e+04 
       3.152571795720e-02       1.841409162467e+04 
       3.167318528197e-02       1.834138249656e+04 
       3.182107661893e-02       1.826868197923e+04 
       3.196940285771e-02       1.819592850275e+04 
       3.211817522467e-02       1.812309496376e+04 
       3.226740529595e-02       1.805023609688e+04 
       3.241710501109e-02       1.797743028899e+04 
       3.256728668728e-02       1.790463086478e+04 
       3.271796303435e-02       1.783179039633e+04 
       3.286914717052e-02       1.775883954950e+04 
       3.302085263888e-02       1.768601819945e+04 
       3.317309342480e-02       1.761312570470e+04 
       3.332588397412e-02       1.754026373423e+04 
       3.347923921237e-02       1.746742013608e+04 
       3.363317456495e-02       1.739454441382e+04 
       3.378770597837e-02       1.732174832757e+04 
       3.394284994271e-02       1.724895007603e+04 
       3.409862351514e-02       1.717613392490e+04 
       3.425504434483e-02       1.710341845994e+04 
       3.441213069927e-02       1.703066732489e+04 
       3.456990149190e-02       1.695798743388e+04 
       3.472837631146e-02       1.688533632492e+04 
       3.488757545292e-02       1.681271933220e+04 
       3.504751995024e-02       1.674011909246e+04 
