# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653077169560e-10       7.722849103512e-15       2.355295268909e-13       6.745096761930e-17       8.395185198553e-11       8.771647830695e-12      -6.824749111639e-15 
   41       1.677889081433e-10       8.386811717343e-15       2.262611555287e-13       7.086890960749e-17       7.979545015988e-11       8.383267109546e-12      -6.325948927329e-15 
   42       1.702949900324e-10       9.086412485909e-15       2.156206736473e-13       7.437281783749e-17       7.590847581067e-11       8.013889130018e-12      -6.288730104302e-15 
   43       1.728280830710e-10       9.822289509092e-15       2.035517095371e-13       7.796273492155e-17       7.228059212659e-11       7.664966495548e-12      -6.568667980529e-15 
   44       1.753867253905e-10       1.059503713574e-14       1.899931958428e-13       8.163869631940e-17       6.888537844310e-11       7.336984350500e-12      -6.984344034781e-15 
   45       1.779677127985e-10       1.140519982799e-14       1.748857087470e-13       8.540072659042e-17       6.568976307982e-11       7.029621854727e-12      -7.357534201300e-15 
   46       1.805730971231e-10       1.225325664175e-14       1.581937181276e-13       8.924882713523e-17       6.268870173506e-11       6.742502637134e-12      -7.653490151455e-15 
   47       1.832046864504e-10       1.313962844315e-14       1.398892872150e-13       9.318298455770e-17       5.987868873287e-11       6.474518219304e-12      -7.878706565568e-15 
   48       1.858618206400e-10       1.406467916677e-14       1.199458748688e-13       9.720317362322e-17       5.724729785262e-11       6.223525409386e-12      -8.042242101566e-15 
   49       1.885411483999e-10       1.502871343272e-14       9.833831167806e-14       1.013093569146e-16       5.477251901459e-11       5.986272233362e-12      -8.155878733938e-15 
   50       1.912386678832e-10       1.603197079308e-14       7.504108198511e-14       1.055014843638e-16       5.242938484345e-11       5.759325884280e-12      -8.234691562346e-15 
   51       1.939570186545e-10       1.707461215866e-14       5.002267565508e-14       1.097794924969e-16       5.021350974826e-11       5.542325353133e-12      -8.298570909869e-15 
   52       1.966997837053e-10       1.815672556889e-14       2.324966184533e-14       1.141433043894e-16       4.812279368007e-11       5.335483655528e-12      -8.371388808263e-15 
   53       1.994692852819e-10       1.927832675921e-14      -5.311852080224e-15       1.185928294304e-16       4.615037803037e-11       5.138636702530e-12      -8.480799055232e-15 
   54       2.022664684784e-10       2.043935661953e-14      -3.569632417243e-14       1.231279629726e-16       4.428432536980e-11       4.951216385723e-12      -8.658415869595e-15 
   55       2.050914992331e-10       2.163972047125e-14      -6.793306422760e-14       1.277485941063e-16       4.251125986988e-11       4.772505629466e-12      -8.929690509359e-15 
   56       2.079459989561e-10       2.287942314699e-14      -1.020271932343e-13       1.324546320432e-16       4.082908128948e-11       4.602539404383e-12      -9.280186859364e-15 
   57       2.108311611356e-10       2.415846301584e-14      -1.379741353450e-13       1.372459856738e-16       3.923684845269e-11       4.441380401329e-12      -9.681240904169e-15 
   58       2.137469989280e-10       2.547679221248e-14      -1.757649003977e-13       1.421225559851e-16       3.773093295093e-11       4.288841092405e-12      -1.009931087210e-14 
   59       2.166922565847e-10       2.683431572487e-14      -2.153859608887e-13       1.470842360274e-16       3.630485319390e-11       4.144467801750e-12      -1.049575451233e-14 
   60       2.196643208802e-10       2.823089048206e-14      -2.568191289470e-13       1.521309108806e-16       3.494910846066e-11       4.007524776333e-12      -1.082660637201e-14 
   61       2.226604536860e-10       2.966625685437e-14      -3.000447441875e-13       1.572624728654e-16       3.365381636310e-11       3.877203375403e-12      -1.105270040995e-14 
   62       2.256820133722e-10       3.113981725065e-14      -3.450523517530e-13       1.624788712421e-16       3.241769245576e-11       3.753340544778e-12      -1.117319681439e-14 
   63       2.287310280834e-10       3.265080597986e-14      -3.918322136686e-13       1.677800736589e-16       3.124080088921e-11       3.635834079094e-12      -1.119921966180e-14 
   64       2.318089124741e-10       3.419834945711e-14      -4.403721918418e-13       1.731660523324e-16       3.012185338164e-11       3.524423121523e-12      -1.114427907736e-14 
   65       2.349164210558e-10       3.578146314693e-14      -4.906577300870e-13       1.786367844982e-16       2.905813221997e-11       3.418679377408e-12      -1.102437676172e-14 
   66       2.380536015423e-10       3.739904850652e-14      -5.426718361517e-13       1.841922528613e-16       2.804541326105e-11       3.317998327906e-12      -1.085811151784e-14 
   67       2.412197481969e-10       3.904988992900e-14      -5.963950637415e-13       1.898324460459e-16       2.707788893289e-11       3.221590443618e-12      -1.066678477779e-14 
   68       2.444140275455e-10       4.073277282622e-14      -6.518064484069e-13       1.955573672749e-16       2.614971894972e-11       3.128683146974e-12      -1.047030337561e-14 
   69       2.476376070297e-10       4.244687249395e-14      -7.088865755922e-13       2.013670614440e-16       2.526021944650e-11       3.039193860031e-12      -1.027368792911e-14 
   70       2.508918758458e-10       4.419143891181e-14      -7.676151048197e-13       2.072615943677e-16       2.440959180678e-11       2.953178176276e-12      -1.007800771339e-14 
   71       2.541777818114e-10       4.596568261607e-14      -8.279698771391e-13       2.132410456839e-16       2.359735324579e-11       2.870627843004e-12      -9.884339607825e-15 
   72       2.574958019083e-10       4.776877474116e-14      -8.899269215484e-13       2.193055095153e-16       2.282230144118e-11       2.791467364947e-12      -9.693766135550e-15 
   73       2.608459128240e-10       4.959984706107e-14      -9.534604614141e-13       2.254550951297e-16       2.208247916369e-11       2.715550607905e-12      -9.507373502969e-15 
   74       2.642275614951e-10       5.145799203087e-14      -1.018542920892e-12       2.316899276004e-16       2.137513890786e-11       2.642657402378e-12      -9.326249639240e-15 
   75       2.676396356490e-10       5.334226282811e-14      -1.085144931350e-12       2.380101484677e-16       2.069670752273e-11       2.572490147196e-12      -9.151482235775e-15 
   76       2.710810342025e-10       5.525161748680e-14      -1.153234705401e-12       2.444159094148e-16       2.004367305083e-11       2.504752999478e-12      -8.984147058237e-15 
   77       2.745525636571e-10       5.718473944634e-14      -1.222776013036e-12       2.509073505063e-16       1.941551013292e-11       2.439413623842e-12      -8.825274755672e-15 
   78       2.780553356084e-10       5.914018420212e-14      -1.293729846386e-12       2.574846191634e-16       1.881222628453e-11       2.376483225669e-12      -8.675874408901e-15 
   79       2.815901806898e-10       6.111643122283e-14      -1.366055012914e-12       2.641478773051e-16       1.823347082069e-11       2.315936523877e-12      -8.536940596040e-15 
   80       2.851576314160e-10       6.311188284553e-14      -1.439708128880e-12       2.708973018659e-16       1.767851839725e-11       2.257710048056e-12      -8.409451232525e-15 
   81       2.887579050252e-10       6.512486317060e-14      -1.514643612786e-12       2.777330853130e-16       1.714625255220e-11       2.201700435599e-12      -8.294365411138e-15 
   82       2.923908863223e-10       6.715361695685e-14      -1.590813678831e-12       2.846554361635e-16       1.663514924702e-11       2.147762728825e-12      -8.192621242029e-15 
   83       2.960561105225e-10       6.919630851649e-14      -1.668168330366e-12       2.916645795028e-16       1.614326040797e-11       2.095708672120e-12      -8.105133692743e-15 
   84       2.997530513682e-10       7.125108878617e-14      -1.746656195525e-12       2.987607537683e-16       1.566868733281e-11       2.045354055146e-12      -8.032384445543e-15 
   85       3.034820779456e-10       7.331631173591e-14      -1.826227207621e-12       3.059441993588e-16       1.521112713599e-11       1.996673490348e-12      -7.973118078336e-15 
   86       3.072436257692e-10       7.539035197711e-14      -1.906830359167e-12       3.132151690771e-16       1.477055368713e-11       1.949668291459e-12      -7.925424772984e-15 
   87       3.110378937613e-10       7.747153981649e-14      -1.988412906699e-12       3.205739321428e-16       1.434674243526e-11       1.904318843152e-12      -7.887120196283e-15 
