# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652115607972e-10       7.655860146950e-15       2.357193752863e-13       0.000000000000e+00       8.395185198553e-11       8.771647830695e-12      -6.824749111639e-15 
   41       1.676887027112e-10       8.316496075341e-15       2.264649807664e-13       0.000000000000e+00       7.979545015988e-11       8.383267109546e-12      -6.325948927329e-15 
   42       1.701906908602e-10       9.012696587653e-15       2.158388500594e-13       0.000000000000e+00       7.590847581067e-11       8.013889130018e-12      -6.288730104302e-15 
   43       1.727196487365e-10       9.745100803981e-15       2.037845613858e-13       0.000000000000e+00       7.228059212659e-11       7.664966495548e-12      -6.568667980529e-15 
   44       1.752741176149e-10       1.051430415078e-14       1.902409909728e-13       0.000000000000e+00       6.888537844310e-11       7.336984350500e-12      -6.984344034781e-15 
   45       1.778508963359e-10       1.132085224355e-14       1.751486524434e-13       0.000000000000e+00       6.568976307982e-11       7.029621854727e-12      -7.357534201300e-15 
   46       1.804520389333e-10       1.216522542636e-14       1.584719482523e-13       0.000000000000e+00       6.268870173506e-11       6.742502637134e-12      -7.653490151455e-15 
   47       1.830793553840e-10       1.304784594872e-14       1.401828680229e-13       0.000000000000e+00       5.987868873287e-11       6.474518219304e-12      -7.878706565568e-15 
   48       1.857321873147e-10       1.396907920995e-14       1.202547901847e-13       0.000000000000e+00       5.724729785262e-11       6.223525409386e-12      -8.042242101566e-15 
   49       1.884071850697e-10       1.492923137833e-14       9.866245785067e-14       0.000000000000e+00       5.477251901459e-11       5.986272233362e-12      -8.155878733938e-15 
   50       1.911003482402e-10       1.592854365762e-14       7.538026215604e-14       0.000000000000e+00       5.242938484345e-11       5.759325884280e-12      -8.234691562346e-15 
   51       1.938143174222e-10       1.696717877559e-14       5.037659891063e-14       0.000000000000e+00       5.021350974826e-11       5.542325353133e-12      -8.298570909869e-15 
   52       1.965526763728e-10       1.804522671243e-14       2.361793842532e-14       0.000000000000e+00       4.812279368007e-11       5.335483655528e-12      -8.371388808263e-15 
   53       1.993177478850e-10       1.916270525440e-14      -4.929717142823e-15       0.000000000000e+00       4.615037803037e-11       5.138636702530e-12      -8.480799055232e-15 
   54       2.021104773716e-10       2.031955745512e-14      -3.530093756254e-14       0.000000000000e+00       4.428432536980e-11       4.951216385723e-12      -8.658415869595e-15 
   55       2.049310310983e-10       2.151569089586e-14      -6.752514847644e-14       0.000000000000e+00       4.251125986988e-11       4.772505629466e-12      -8.929690509359e-15 
   56       2.077810316117e-10       2.275111270301e-14      -1.016075826614e-13       0.000000000000e+00       4.082908128948e-11       4.602539404383e-12      -9.280186859364e-15 
   57       2.106616737287e-10       2.402582362521e-14      -1.375437784172e-13       0.000000000000e+00       3.923684845269e-11       4.441380401329e-12      -9.681240904169e-15 
   58       2.135729718966e-10       2.533977828279e-14      -1.753248644931e-13       0.000000000000e+00       3.773093295093e-11       4.288841092405e-12      -1.009931087210e-14 
   59       2.165136716217e-10       2.669288425768e-14      -2.149374371139e-13       0.000000000000e+00       3.630485319390e-11       4.144467801750e-12      -1.049575451233e-14 
