# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)rho_efld           15:(.)rho_efld_t         16:(.)w_fld              17:(.)w_efld             18:(.)rho_ur             19:(.)rho_crit           20:(.)rho_tot            21:(.)p_tot              22:(.)p_tot_prime        23:gr.fac. D             24:gr.fac. f          
       8.980856820338e+13       9.372566130127e-26       5.162291927263e-09       1.739952415475e+22       1.027314575301e+04       1.143893724009e-10       9.226165110226e+17       2.980024122385e-09       1.789988176302e+44       8.164946127243e+32       9.680148935709e+33       2.131766915216e-08       5.116183148411e-09       1.137430128940e+38       1.137430129431e+38      -1.000000000000e+00       1.000000000000e-01       1.237445094279e+44       3.027434408116e+44       3.027434408116e+44       1.009144537270e+44      -7.820471086020e+52       5.733994550958e-04       1.646118150516e+00 
       8.884838741853e+13       9.576238608363e-26       5.216861609370e-09       1.702946194522e+22       1.027314575301e+04       1.156255735359e-10       9.127524338706e+17       3.012229117262e-09       1.714657057307e+44       7.905851552278e+32       9.372973109315e+33       2.131766915216e-08       5.116183148411e-09       1.097790815257e+38       1.097790815664e+38      -1.000000000000e+00       1.000000000000e-01       1.185367586236e+44       2.900025741436e+44       2.900025741436e+44       9.666749909602e+43      -7.411255772117e+52       5.835452373596e-04       1.617497991177e+00 
       8.789847232612e+13       9.784337033084e-26       5.273250280879e-09       1.666727041312e+22       1.027314575301e+04       1.168751342446e-10       9.029938176733e+17       3.044782150117e-09       1.642496226007e+44       7.654978709303e+32       9.075544755708e+33       2.131766915216e-08       5.116183148411e-09       1.059532927259e+38       1.059532927583e+38      -1.000000000000e+00       1.000000000000e-01       1.135481744601e+44       2.777979030239e+44       2.777979030239e+44       9.259927628225e+43      -7.023453129122e+52       5.936910196090e-04       1.589856030604e+00 
       8.695871317136e+13       9.996957583224e-26       5.331457941793e-09       1.631278216074e+22       1.027314575301e+04       1.181381989033e-10       8.933395349037e+17       3.077686982181e-09       1.573372261788e+44       7.412066701784e+32       8.787554562703e+33       2.131766915216e-08       5.116183148411e-09       1.022608322406e+38       1.022608322654e+38      -1.000000000000e+00       1.000000000000e-01       1.087695333746e+44       2.661068618237e+44       2.661068618237e+44       8.870226341053e+43      -6.655942713932e+52       6.038368018438e-04       1.563142961144e+00 
       8.602900137289e+13       1.021419852776e-25       5.387846613303e-09       1.596583335069e+22       1.027314575301e+04       1.194149134486e-10       8.837884700897e+17       3.110947415333e-09       1.507157359005e+44       7.176862912097e+32       8.508703033382e+33       2.131766915216e-08       5.116183148411e-09       9.869705359397e+37       9.869705361094e+37      -1.000000000000e+00       1.000000000000e-01       1.041919999751e+44       2.549078345819e+44       2.549078345819e+44       8.496925516156e+43      -6.307662711941e+52       6.139825840639e-04       1.537312734287e+00 
       8.510922951025e+13       1.043616027111e-25       5.446054274216e-09       1.562626363013e+22       1.027314575301e+04       1.207054253942e-10       8.743395196852e+17       3.144567292538e-09       1.443729090674e+44       6.949122738823e+32       8.238700174627e+33       2.131766915216e-08       5.116183148411e-09       9.525747223666e+37       9.525747224702e+37      -1.000000000000e+00       1.000000000000e-01       9.980711070464e+43       2.441801150385e+44       2.441801150385e+44       8.139334944976e+43      -5.977606869237e+52       6.241283662693e-04       1.512322295771e+00 
       8.419929131143e+13       1.066294539956e-25       5.506080924533e-09       1.529391605673e+22       1.027314575301e+04       1.220098838482e-10       8.649915919426e+17       3.178550498292e-09       1.382970182115e+44       6.728609342367e+32       7.977265195541e+33       2.131766915216e-08       5.116183148411e-09       9.193775990778e+37       9.193775991187e+37      -1.000000000000e+00       1.000000000000e-01       9.560675819248e+43       2.339038683504e+44       2.339038683504e+44       7.796793466176e+43      -5.664821585323e+52       6.342741484598e-04       1.488131346097e+00 
       8.329908164066e+13       1.089465872867e-25       5.564288585447e-09       1.496863702606e+22       1.027314575301e+04       1.233284395298e-10       8.557436067864e+17       3.212900959069e-09       1.324768294116e+44       6.515093398661e+32       7.724126215441e+33       2.131766915216e-08       5.116183148411e-09       8.873373918537e+37       8.873373918315e+37      -1.000000000000e+00       1.000000000000e-01       9.158317626413e+43       2.240600944179e+44       2.240600944179e+44       7.468667743195e+43      -5.368403157968e+52       6.444199306353e-04       1.464702123677e+00 
       8.240849648618e+13       1.113140735170e-25       5.624315235764e-09       1.465027620063e+22       1.027314575301e+04       1.246612447872e-10       8.465944956890e+17       3.247622643780e-09       1.269015815230e+44       6.308352860674e+32       7.479019981109e+33       2.131766915216e-08       5.116183148411e-09       8.564137822845e+37       8.564137822121e+37      -1.000000000000e+00       1.000000000000e-01       8.772892558222e+43       2.146305927547e+44       2.146305927547e+44       7.154351093255e+43      -5.087495172217e+52       6.545657127956e-04       1.441999208145e+00 
       8.152743294829e+13       1.137330068913e-25       5.686160875484e-09       1.433868644042e+22       1.027314575301e+04       1.260084536150e-10       8.375432015466e+17       3.282719564223e-09       1.215609662805e+44       6.108172727493e+32       7.241691593026e+33       2.131766915216e-08       5.116183148411e-09       8.265678570835e+37       8.265678569557e+37      -1.000000000000e+00       1.000000000000e-01       8.403687989172e+43       2.055979288368e+44       2.055979288368e+44       6.853262365640e+43      -4.821286026033e+52       6.647114949408e-04       1.419989341680e+00 
       8.065578922741e+13       1.162045053924e-25       5.748006515205e-09       1.403372373487e+22       1.027314575301e+04       1.273702216718e-10       8.285886785573e+17       3.318195775556e-09       1.164451092389e+44       5.914344820734e+32       7.011894240284e+33       2.131766915216e-08       5.116183148411e-09       7.977620590568e+37       7.977620588818e+37      -1.000000000000e+00       1.000000000000e-01       8.050021284391e+43       1.969454018666e+44       1.969454018666e+44       6.564844867189e+43      -4.569006585407e+52       6.748572770706e-04       1.398641266450e+00 
